Unnamed: 0,id,region,profit,cost,sales,profitable
0,11,US,0.17,172370.14,201673,Yes
0,22,US,0.75,496676.59,869184,Yes
0,28,US,0.16,614312.89,712603,Yes
0,36,US,0.63,900707.7,1468154,Yes
0,40,US,0.85,184435.61,341206,Yes
0,47,US,0.89,596903.15,1128147,Yes
0,56,US,0.94,536225.9,1040278,Yes
0,61,US,0.31,850370.83,1113986,Yes
0,71,US,0.56,538817.05,840555,Yes
0,81,US,0.41,700861.02,988214,Yes
0,96,US,0.5,656411.01,984617,Yes
0,99,US,0.3,509841.6,662794,Yes
0,107,US,0.79,886726.66,1587241,Yes
0,110,US,0.02,495707.59,505622,Yes
0,129,US,0.85,962903.97,1781372,Yes
0,141,US,0.13,494857.47,559189,Yes
0,179,US,0.39,546575.61,759740,Yes
0,181,US,0.81,519814.22,940864,Yes
0,184,US,0.42,868196.83,1232839,Yes
0,187,US,0.8,966710.07,1740078,Yes
0,205,US,0.13,823252.31,930275,Yes
0,206,US,0.35,554407.25,748450,Yes
0,218,US,0.4,600794.95,841113,Yes
0,219,US,0.46,291626.87,425775,Yes
0,220,US,0.68,136778.23,229787,Yes
0,222,US,0.83,661905.38,1211287,Yes
0,229,US,0.13,978062.6,1105211,Yes
0,232,US,0.67,757573.84,1265148,Yes
0,241,US,0.57,993455.52,1559725,Yes
0,247,US,0.08,761383.25,822294,Yes
0,248,US,0.96,919502.42,1802225,Yes
0,257,US,0.18,809706.99,955454,Yes
0,263,US,0.35,807347.99,1089920,Yes
0,273,US,0.98,371723.73,736013,Yes
0,275,US,0.96,304710.43,597232,Yes
0,290,US,0.05,411570.03,432149,Yes
0,300,US,0.78,577565.88,1028067,Yes
0,334,US,0.99,462721.0,920815,Yes
0,350,US,0.74,834110.32,1451352,Yes
0,362,US,0.24,963776.11,1195082,Yes
0,375,US,0.98,876943.95,1736349,Yes
0,386,US,0.16,219041.13,254088,Yes
0,417,US,0.89,642929.91,1215138,Yes
0,421,US,0.17,233746.44,273483,Yes
0,429,US,0.25,724448.74,905561,Yes
0,433,US,0.26,711519.17,896514,Yes
0,436,US,0.08,752950.86,813187,Yes
0,440,US,0.51,275457.72,415941,Yes
0,444,US,0.75,581972.1,1018451,Yes
0,449,US,0.82,749059.15,1363288,Yes
0,450,US,0.1,394425.0,433868,Yes
0,454,US,0.58,215330.11,340222,Yes
0,457,US,0.5,238272.31,357408,Yes
0,458,US,0.83,115925.38,212143,Yes
0,463,US,0.36,388728.01,528670,Yes
0,464,US,0.94,523864.9,1016298,Yes
0,467,US,0.97,146892.04,289377,Yes
0,469,US,0.2,815920.99,979105,Yes
0,477,US,0.03,864659.22,890599,Yes
0,490,US,0.07,626149.52,669980,Yes
0,495,US,0.59,803547.39,1277640,Yes
0,498,US,0.77,483069.83,855034,Yes
0,501,US,0.6,496941.3,795106,Yes
0,511,US,0.41,696239.07,981697,Yes
0,517,US,0.12,691341.75,774303,Yes
0,528,US,0.21,765219.63,925916,Yes
0,532,US,0.7,256364.38,435819,Yes
0,540,US,0.42,722645.39,1026156,Yes
0,552,US,0.72,847112.89,1457034,Yes
0,571,US,0.55,269821.68,418224,Yes
0,578,US,0.75,532640.23,932120,Yes
0,579,US,0.26,232153.23,292513,Yes
0,584,US,0.68,999537.17,1679222,Yes
0,590,US,0.11,398832.84,442704,Yes
0,597,US,0.93,928110.26,1791253,Yes
0,600,US,0.56,381612.75,595316,Yes
0,617,US,0.77,521645.8,923313,Yes
0,630,US,0.72,188417.6,324078,Yes
0,633,US,0.06,785310.25,832429,Yes
0,647,US,0.56,894436.05,1395320,Yes
0,656,US,0.66,786088.64,1304907,Yes
0,672,US,0.58,994619.59,1571499,Yes
0,692,US,0.31,874273.68,1145299,Yes
0,694,US,0.8,223179.82,401724,Yes
0,697,US,0.55,151728.9,235180,Yes
0,699,US,0.05,795606.69,835387,Yes
0,707,US,0.4,194541.77,272358,Yes
0,713,US,0.09,541939.0,590714,Yes
0,721,US,0.87,505443.18,945179,Yes
0,776,US,0.7,308184.81,523914,Yes
0,777,US,0.0,567750.71,567751,Yes
0,778,US,0.35,162492.87,219365,Yes
0,807,US,0.46,483128.28,705367,Yes
0,808,US,0.17,875731.92,1024606,Yes
0,837,US,0.03,461804.51,475659,Yes
0,852,US,0.51,745330.7,1125449,Yes
0,865,US,0.78,724193.38,1289064,Yes
0,867,US,0.9,874490.8,1661533,Yes
0,886,US,0.35,568986.07,768131,Yes
0,891,US,0.06,654864.7,694157,Yes
0,908,US,0.36,526897.97,716581,Yes
0,926,US,0.52,351890.27,534873,Yes
0,927,US,0.44,452470.23,651557,Yes
0,929,US,0.85,794066.69,1469023,Yes
0,952,US,0.46,870586.57,1271056,Yes
0,959,US,0.67,121195.8,202397,Yes
0,960,US,0.13,162213.93,183302,Yes
0,964,US,0.48,229762.25,340048,Yes
0,972,US,0.71,702952.39,1202049,Yes
0,975,US,0.41,346092.9,487991,Yes
0,977,US,0.56,342721.87,534646,Yes
0,985,US,0.33,308580.24,410412,Yes
0,996,US,0.93,811384.03,1565971,Yes
0,1002,US,0.1,471421.13,518563,Yes
0,1033,US,0.65,558535.16,921583,Yes
0,1044,US,0.71,334558.67,572095,Yes
0,1045,US,0.69,862719.29,1457996,Yes
0,1099,US,0.83,744861.17,1363096,Yes
0,1105,US,0.53,633418.84,969131,Yes
0,1107,US,0.92,828793.98,1591284,Yes
0,1110,US,0.57,781521.73,1226989,Yes
0,1149,US,0.09,980041.8,1068246,Yes
0,1153,US,0.22,903301.59,1102028,Yes
0,1159,US,0.57,413554.29,649280,Yes
0,1168,US,0.02,725316.24,739823,Yes
0,1177,US,0.74,868553.99,1511284,Yes
0,1187,US,0.74,928817.21,1616142,Yes
0,1191,US,0.51,434133.0,655541,Yes
0,1198,US,0.68,939430.81,1578244,Yes
0,1206,US,0.38,917779.62,1266536,Yes
0,1211,US,0.19,548540.86,652764,Yes
0,1212,US,0.79,724281.0,1296463,Yes
0,1223,US,0.97,935099.16,1842145,Yes
0,1224,US,0.93,329933.57,636772,Yes
0,1231,US,0.22,619110.83,755315,Yes
0,1248,US,0.76,972623.73,1711818,Yes
0,1264,US,0.14,144876.99,165160,Yes
0,1271,US,0.42,757484.0,1075627,Yes
0,1279,US,0.89,995528.67,1881549,Yes
0,1284,US,0.02,273268.96,278734,Yes
0,1285,US,0.44,228335.05,328802,Yes
0,1289,US,0.72,330838.24,569042,Yes
0,1293,US,0.96,353164.81,692203,Yes
0,1310,US,0.83,932670.16,1706786,Yes
0,1312,US,0.85,892445.38,1651024,Yes
0,1320,US,0.36,255594.31,347608,Yes
0,1328,US,0.33,197764.32,263027,Yes
0,1355,US,0.24,119637.03,148350,Yes
0,1358,US,0.49,945410.93,1408662,Yes
0,1368,US,0.03,259479.06,267263,Yes
0,1384,US,0.62,268171.23,434437,Yes
0,1402,US,0.15,852301.92,980147,Yes
0,1407,US,0.27,478413.58,607585,Yes
0,1408,US,0.01,530422.7,535727,Yes
0,1410,US,0.44,439921.91,633488,Yes
0,1417,US,0.49,554030.29,825505,Yes
0,1418,US,0.9,825726.45,1568880,Yes
0,1447,US,0.1,495960.47,545557,Yes
0,1457,US,0.86,169402.63,315089,Yes
0,1459,US,0.23,827668.94,1018033,Yes
0,1465,US,0.98,288832.31,571888,Yes
0,1469,US,0.88,487803.42,917070,Yes
0,1487,US,0.57,363529.08,570741,Yes
0,1497,US,0.25,746913.83,933642,Yes
0,1503,US,0.26,817246.31,1029730,Yes
0,1512,US,0.18,477466.52,563410,Yes
0,1515,US,0.56,372595.8,581249,Yes
0,1518,US,0.56,299154.98,466682,Yes
0,1519,US,0.89,897720.57,1696692,Yes
0,1531,US,0.95,959559.28,1871141,Yes
0,1537,US,0.02,856607.92,873740,Yes
0,1543,US,0.36,645524.41,877913,Yes
0,1553,US,0.29,203780.76,262877,Yes
0,1559,US,0.17,997563.68,1167150,Yes
0,1570,US,0.35,517579.65,698733,Yes
0,1574,US,0.62,762483.84,1235224,Yes
0,1576,US,0.89,469872.41,888059,Yes
0,1600,US,0.09,710642.18,774600,Yes
0,1637,US,0.3,462099.21,600729,Yes
0,1643,US,0.13,685884.36,775049,Yes
0,1650,US,0.92,338664.53,650236,Yes
0,1665,US,0.52,557391.0,847234,Yes
0,1679,US,0.18,780754.84,921291,Yes
0,1688,US,0.1,723458.21,795804,Yes
0,1693,US,0.41,933053.67,1315606,Yes
0,1715,US,0.6,830653.24,1329045,Yes
0,1724,US,0.66,984427.8,1634150,Yes
0,1726,US,0.93,695751.04,1342800,Yes
0,1748,US,0.81,870538.86,1575675,Yes
0,1751,US,0.24,573640.62,711314,Yes
0,1762,US,0.52,471562.95,716776,Yes
0,1778,US,0.32,258594.83,341345,Yes
0,1784,US,0.59,568733.1,904286,Yes
0,1790,US,0.55,738533.26,1144727,Yes
0,1797,US,0.5,297191.92,445788,Yes
0,1813,US,0.15,716011.38,823413,Yes
0,1816,US,0.07,397781.78,425627,Yes
0,1821,US,0.73,157521.18,272512,Yes
0,1823,US,0.33,675484.23,898394,Yes
0,1829,US,0.04,338908.51,352465,Yes
0,1851,US,0.51,526773.94,795429,Yes
0,1858,US,0.9,948585.45,1802312,Yes
0,1863,US,0.2,288784.21,346541,Yes
0,1865,US,0.06,891240.18,944715,Yes
0,1866,US,0.31,276733.96,362521,Yes
0,1878,US,0.57,554435.27,870463,Yes
0,1895,US,0.76,735796.99,1295003,Yes
0,1926,US,0.05,162886.81,171031,Yes
0,1935,US,0.08,660477.26,713315,Yes
0,1943,US,0.4,178860.28,250404,Yes
0,1958,US,0.05,885472.67,929746,Yes
0,1988,US,0.59,785691.15,1249249,Yes
0,1997,US,0.7,541735.97,920951,Yes
0,1998,US,0.51,766598.92,1157564,Yes
0,1999,US,0.14,782509.27,892061,Yes
0,2014,US,0.98,806990.75,1597842,Yes
0,2021,US,0.74,265433.28,461854,Yes
0,2044,US,0.39,373478.4,519135,Yes
0,2045,US,0.94,607597.53,1178739,Yes
0,2050,US,0.72,438925.04,754951,Yes
0,2097,US,0.12,405592.1,454263,Yes
0,2098,US,0.72,947740.48,1630114,Yes
0,2110,US,0.13,520156.91,587777,Yes
0,2130,US,0.4,941345.34,1317883,Yes
0,2142,US,0.59,593816.89,944169,Yes
0,2152,US,0.92,157449.74,302304,Yes
0,2177,US,0.74,605958.42,1054368,Yes
0,2202,US,0.3,339395.54,441214,Yes
0,2211,US,0.82,785137.02,1428949,Yes
0,2215,US,0.54,735025.88,1131940,Yes
